time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, shortDist, control_mode, ttc, joy_x, joy_y, joy_z, joy_yaw, traj_futura
28.905,0.00980729,-0.0124807,0.132576,0.00835233,-0.0108049,0.121724,0.0829208,-0.0847739,0.502938,0.0741307,-0.0847739,0.504308,1000,0,1.5,0,0,0,0,[{29:[0.0166444;-0.0192823;0.172017]}+{29.1:[0.0249365;-0.0277597;0.222311]}+{29.2:[0.0332286;-0.0362371;0.272605]}+{29.3:[0.0415207;-0.0447145;0.322899]}+{29.4:[0.0498127;-0.0531919;0.373193]}+{29.5:[0.0581048;-0.0616693;0.423486]}+{29.6:[0.0663969;-0.0701467;0.47378]}+{29.7:[0.074689;-0.0786241;0.524074]}+{29.8:[0.0829811;-0.0871015;0.574368]}+{29.9:[0.0912732;-0.0955789;0.624662]}+{30:[0.0995652;-0.104056;0.674955]}+{30.1:[0.107857;-0.112534;0.725249]}+{30.2:[0.116149;-0.121011;0.775543]}+{30.3:[0.124441;-0.129488;0.825837]}+],
28.91,0.00980729,-0.0124807,0.132576,0.00835233,-0.0108049,0.121724,0.0829208,-0.0847739,0.502938,0.0741307,-0.0847739,0.504308,1000,0,1.5,0,0,0,0,[{29.004:[0.0166444;-0.0192823;0.172017]}+{29.104:[0.0249365;-0.0277597;0.222311]}+{29.204:[0.0332286;-0.0362371;0.272605]}+{29.304:[0.0415207;-0.0447145;0.322899]}+{29.404:[0.0498127;-0.0531919;0.373193]}+{29.504:[0.0581048;-0.0616693;0.423486]}+{29.604:[0.0663969;-0.0701467;0.47378]}+{29.704:[0.074689;-0.0786241;0.524074]}+{29.804:[0.0829811;-0.0871015;0.574368]}+{29.904:[0.0912732;-0.0955789;0.624662]}+{30.004:[0.0995652;-0.104056;0.674955]}+{30.104:[0.107857;-0.112534;0.725249]}+{30.204:[0.116149;-0.121011;0.775543]}+{30.304:[0.124441;-0.129488;0.825837]}+],
28.918,0.00980729,-0.0124807,0.132576,0.00980729,-0.0124807,0.132576,0.0918844,-0.087699,0.663893,0.0802839,-0.087699,0.665395,1000,0,1.5,0,0,0,0,[{29.01:[0.0189957;-0.0212506;0.198966]}+{29.11:[0.0281842;-0.0300205;0.265355]}+{29.21:[0.0373726;-0.0387904;0.331744]}+{29.31:[0.046561;-0.0475603;0.398134]}+{29.41:[0.0557495;-0.0563302;0.464523]}+{29.51:[0.0649379;-0.0651001;0.530912]}+{29.61:[0.0741264;-0.07387;0.597301]}+{29.71:[0.0833148;-0.0826399;0.663691]}+{29.81:[0.0925032;-0.0914098;0.73008]}+{29.91:[0.101692;-0.10018;0.796469]}+{30.01:[0.11088;-0.10895;0.862859]}+{30.11:[0.120069;-0.117719;0.929248]}+{30.21:[0.129257;-0.126489;0.995637]}+{30.31:[0.138445;-0.135259;1.06203]}+],
28.92,0.00980729,-0.0124807,0.132576,0.00980729,-0.0124807,0.132576,0.0918844,-0.087699,0.663893,0.0802839,-0.087699,0.665395,1000,0,1.5,0,0,0,0,[{29.013:[0.0189957;-0.0212506;0.198966]}+{29.113:[0.0281842;-0.0300205;0.265355]}+{29.213:[0.0373726;-0.0387904;0.331744]}+{29.313:[0.046561;-0.0475603;0.398134]}+{29.413:[0.0557495;-0.0563302;0.464523]}+{29.513:[0.0649379;-0.0651001;0.530912]}+{29.613:[0.0741264;-0.07387;0.597301]}+{29.713:[0.0833148;-0.0826399;0.663691]}+{29.813:[0.0925032;-0.0914098;0.73008]}+{29.913:[0.101692;-0.10018;0.796469]}+{30.013:[0.11088;-0.10895;0.862859]}+{30.113:[0.120069;-0.117719;0.929248]}+{30.213:[0.129257;-0.126489;0.995637]}+{30.313:[0.138445;-0.135259;1.06203]}+],
28.925,0.00980729,-0.0124807,0.132576,0.00980729,-0.0124807,0.132576,0.0912517,-0.0879785,0.591354,0.0809172,-0.0879785,0.592856,1000,0,1.5,0,0,0,0,[{29.018:[0.0189325;-0.0212785;0.191712]}+{29.118:[0.0280576;-0.0300764;0.250847]}+{29.218:[0.0371828;-0.0388742;0.309983]}+{29.318:[0.046308;-0.0476721;0.369118]}+{29.418:[0.0554331;-0.05647;0.428253]}+{29.518:[0.0645583;-0.0652678;0.487389]}+{29.618:[0.0736834;-0.0740657;0.546524]}+{29.718:[0.0828086;-0.0828635;0.60566]}+{29.818:[0.0919338;-0.0916614;0.664795]}+{29.918:[0.101059;-0.100459;0.72393]}+{30.018:[0.110184;-0.109257;0.783066]}+{30.118:[0.119309;-0.118055;0.842201]}+{30.218:[0.128434;-0.126853;0.901337]}+{30.318:[0.13756;-0.135651;0.960472]}+],
28.93,0.00980729,-0.0124807,0.132576,0.00980729,-0.0124807,0.132576,0.0912517,-0.0879785,0.591354,0.0809172,-0.0879785,0.592856,1000,0,1.5,0,0,0,0,[{29.025:[0.0189325;-0.0212785;0.191712]}+{29.125:[0.0280576;-0.0300764;0.250847]}+{29.225:[0.0371828;-0.0388742;0.309983]}+{29.325:[0.046308;-0.0476721;0.369118]}+{29.425:[0.0554331;-0.05647;0.428253]}+{29.525:[0.0645583;-0.0652678;0.487389]}+{29.625:[0.0736834;-0.0740657;0.546524]}+{29.725:[0.0828086;-0.0828635;0.60566]}+{29.825:[0.0919338;-0.0916614;0.664795]}+{29.925:[0.101059;-0.100459;0.72393]}+{30.025:[0.110184;-0.109257;0.783066]}+{30.125:[0.119309;-0.118055;0.842201]}+{30.225:[0.128434;-0.126853;0.901337]}+{30.325:[0.13756;-0.135651;0.960472]}+],
28.935,0.0122227,-0.0151216,0.151519,0.00980729,-0.0124807,0.132576,0.0978292,-0.0903618,0.712323,0.0853826,-0.0903618,0.713922,1000,0,1.5,0,0,0,0,[{29.03:[0.0195902;-0.0215169;0.203809]}+{29.13:[0.0293731;-0.030553;0.275041]}+{29.23:[0.039156;-0.0395892;0.346273]}+{29.33:[0.048939;-0.0486254;0.417506]}+{29.43:[0.0587219;-0.0576616;0.488738]}+{29.53:[0.0685048;-0.0666978;0.55997]}+{29.63:[0.0782877;-0.075734;0.631203]}+{29.73:[0.0880707;-0.0847701;0.702435]}+{29.83:[0.0978536;-0.0938063;0.773668]}+{29.93:[0.107636;-0.102843;0.8449]}+{30.03:[0.117419;-0.111879;0.916132]}+{30.13:[0.127202;-0.120915;0.987365]}+{30.23:[0.136985;-0.129951;1.0586]}+{30.33:[0.146768;-0.138987;1.12983]}+],
28.94,0.0122227,-0.0151216,0.151519,0.0122227,-0.0151216,0.151519,0.0978292,-0.0903618,0.712323,0.0853826,-0.0903618,0.713922,1000,0,1.5,0,0,0,0,[{29.034:[0.0220056;-0.0241577;0.222751]}+{29.134:[0.0317885;-0.0331939;0.293984]}+{29.234:[0.0415715;-0.0422301;0.365216]}+{29.334:[0.0513544;-0.0512663;0.436448]}+{29.434:[0.0611373;-0.0603025;0.507681]}+{29.534:[0.0709202;-0.0693387;0.578913]}+{29.634:[0.0807031;-0.0783748;0.650145]}+{29.734:[0.0904861;-0.087411;0.721378]}+{29.834:[0.100269;-0.0964472;0.79261]}+{29.934:[0.110052;-0.105483;0.863842]}+{30.034:[0.119835;-0.11452;0.935075]}+{30.134:[0.129618;-0.123556;1.00631]}+{30.234:[0.139401;-0.132592;1.07754]}+{30.334:[0.149184;-0.141628;1.14877]}+],
28.945,0.0122227,-0.0151216,0.151519,0.0122227,-0.0151216,0.151519,0.0853872,-0.0903574,0.713922,0.0853872,-0.0903574,0.713922,1000,0,1.5,0,0,0,0,[{29.04:[0.0207614;-0.0241573;0.222911]}+{29.14:[0.0293001;-0.033193;0.294303]}+{29.24:[0.0378389;-0.0422288;0.365696]}+{29.34:[0.0463776;-0.0512645;0.437088]}+{29.44:[0.0549163;-0.0603003;0.50848]}+{29.54:[0.063455;-0.069336;0.579872]}+{29.64:[0.0719937;-0.0783718;0.651264]}+{29.74:[0.0805325;-0.0874075;0.722657]}+{29.84:[0.0890712;-0.0964433;0.794049]}+{29.94:[0.0976099;-0.105479;0.865441]}+{30.04:[0.106149;-0.114515;0.936833]}+{30.14:[0.114687;-0.12355;1.00823]}+{30.24:[0.123226;-0.132586;1.07962]}+{30.34:[0.131765;-0.141622;1.15101]}+],
28.95,0.0130763,-0.0160266,0.158108,0.0122227,-0.0151216,0.151519,0.0853872,-0.0903574,0.615922,0.0853872,-0.0903574,0.615922,1000,0,1.5,0,0,0,0,[{29.045:[0.0207614;-0.0241573;0.213111]}+{29.145:[0.0293001;-0.033193;0.274703]}+{29.245:[0.0378389;-0.0422288;0.336296]}+{29.345:[0.0463776;-0.0512645;0.397888]}+{29.445:[0.0549163;-0.0603003;0.45948]}+{29.545:[0.063455;-0.069336;0.521072]}+{29.645:[0.0719937;-0.0783718;0.582664]}+{29.745:[0.0805325;-0.0874075;0.644257]}+{29.845:[0.0890712;-0.0964433;0.705849]}+{29.945:[0.0976099;-0.105479;0.767441]}+{30.045:[0.106149;-0.114515;0.829033]}+{30.145:[0.114687;-0.12355;0.890626]}+{30.245:[0.123226;-0.132586;0.952218]}+{30.345:[0.131765;-0.141622;1.01381]}+],
