time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
32.72,-0.0791785,-2.26763,2.09873,-0.102944,-2.25694,2.01446,0.00115376,-1.00536,0.0423533,-0.0163924,-1.00523,0.0423533,[[32.814:[-0.102829;-2.35747;2.0187]]+[32.914:[-0.102713;-2.45801;2.02293]]+[33.014:[-0.102598;-2.55854;2.02717]]+[33.114:[-0.102483;-2.65908;2.0314]]+[33.214:[-0.102367;-2.75962;2.03564]]+[33.314:[-0.102252;-2.86015;2.03987]]+[33.414:[-0.102136;-2.96069;2.04411]]+[33.514:[-0.102021;-3.06123;2.04834]]+[33.614:[-0.101906;-3.16176;2.05258]]+],
32.82,-0.0782296,-2.36844,2.10193,-0.10287,-2.35873,2.01766,0.000950076,-1.00842,0.0323823,-0.0166495,-1.00829,0.0323823,[[32.915:[-0.102775;-2.45957;2.0209]]+[33.015:[-0.10268;-2.56041;2.02414]]+[33.115:[-0.102585;-2.66125;2.02738]]+[33.215:[-0.10249;-2.7621;2.03061]]+[33.315:[-0.102395;-2.86294;2.03385]]+[33.415:[-0.1023;-2.96378;2.03709]]+[33.515:[-0.102205;-3.06462;2.04033]]+[33.615:[-0.10211;-3.16546;2.04357]]+[33.715:[-0.102015;-3.26631;2.0468]]+],
32.924,-0.0773041,-2.45912,2.10485,-0.102705,-2.46351,2.02109,0.000991757,-1.00613,0.0385544,-0.0165677,-1.00599,0.0385544,[[33.019:[-0.102606;-2.56412;2.02494]]+[33.119:[-0.102507;-2.66473;2.0288]]+[33.219:[-0.102408;-2.76535;2.03265]]+[33.319:[-0.102308;-2.86596;2.03651]]+[33.419:[-0.102209;-2.96657;2.04036]]+[33.519:[-0.10211;-3.06718;2.04422]]+[33.619:[-0.102011;-3.1678;2.04807]]+[33.719:[-0.101912;-3.26841;2.05193]]+[33.819:[-0.101812;-3.36902;2.05579]]+],
33.02,-0.0767966,-2.5496,2.10796,-0.103062,-2.56504,2.0245,-0.00696461,-1.00462,0.0289104,-0.0244967,-1.00435,0.0289104,[[33.12:[-0.103759;-2.6655;2.02739]]+[33.22:[-0.104455;-2.76596;2.03028]]+[33.32:[-0.105152;-2.86643;2.03318]]+[33.42:[-0.105848;-2.96689;2.03607]]+[33.52:[-0.106545;-3.06735;2.03896]]+[33.62:[-0.107241;-3.16781;2.04185]]+[33.72:[-0.107938;-3.26828;2.04474]]+[33.82:[-0.108634;-3.36874;2.04763]]+[33.92:[-0.109331;-3.4692;2.05052]]+],
33.121,-0.0767872,-2.63995,2.11133,-0.104112,-2.66431,2.02828,-0.0128378,-1.00075,0.0333715,-0.0303014,-1.00038,0.0333715,[[33.219:[-0.105396;-2.76439;2.03161]]+[33.319:[-0.10668;-2.86446;2.03495]]+[33.419:[-0.107963;-2.96454;2.03829]]+[33.519:[-0.109247;-3.06461;2.04163]]+[33.619:[-0.110531;-3.16469;2.04496]]+[33.719:[-0.111815;-3.26476;2.0483]]+[33.819:[-0.113098;-3.36484;2.05164]]+[33.919:[-0.114382;-3.46491;2.05497]]+[34.019:[-0.115666;-3.56499;2.05831]]+],
33.222,-0.0769818,-2.76998,2.11635,-0.105325,-2.7643,2.03204,-0.0117792,-0.999239,0.0352176,-0.0292166,-0.998882,0.0352176,[[33.319:[-0.106503;-2.86422;2.03556]]+[33.419:[-0.107681;-2.96414;2.03908]]+[33.519:[-0.108859;-3.06407;2.04261]]+[33.619:[-0.110037;-3.16399;2.04613]]+[33.719:[-0.111214;-3.26392;2.04965]]+[33.819:[-0.112392;-3.36384;2.05317]]+[33.919:[-0.11357;-3.46376;2.05669]]+[34.019:[-0.114748;-3.56369;2.06021]]+[34.119:[-0.115926;-3.66361;2.06374]]+],
33.32,-0.076767,-2.85985,2.1195,-0.106276,-2.86511,2.03561,0.000648011,-0.995012,0.0523526,-0.0185343,-0.995623,0.0343665,[[33.42:[-0.106211;-2.96461;2.04084]]+[33.52:[-0.106146;-3.06411;2.04608]]+[33.62:[-0.106082;-3.16362;2.05131]]+[33.72:[-0.106017;-3.26312;2.05655]]+[33.82:[-0.105952;-3.36262;2.06178]]+[33.92:[-0.105887;-3.46212;2.06702]]+[34.02:[-0.105822;-3.56162;2.07225]]+[34.12:[-0.105758;-3.66112;2.07749]]+[34.22:[-0.105693;-3.76062;2.08272]]+],
33.421,-0.0730104,-2.94763,2.12285,-0.100579,-2.96024,2.0447,0.124899,-0.919193,0.106207,0.0887417,-0.929094,0.0265217,[[33.519:[-0.088089;-3.05216;2.05532]]+[33.619:[-0.0755991;-3.14407;2.06594]]+[33.719:[-0.0631092;-3.23599;2.07656]]+[33.819:[-0.0506193;-3.32791;2.08718]]+[33.919:[-0.0381294;-3.41983;2.0978]]+[34.019:[-0.0256395;-3.51175;2.10842]]+[34.119:[-0.0131496;-3.60367;2.11904]]+[34.219:[-0.000659663;-3.69559;2.12966]]+[34.319:[0.0118302;-3.78751;2.14029]]+],
33.52,-0.0511117,-3.04266,2.12613,-0.0787148,-3.03942,2.05417,0.329698,-0.772248,0.0817229,0.29227,-0.790587,0.0359944,[[33.613:[-0.045745;-3.11665;2.06234]]+[33.713:[-0.0127752;-3.19387;2.07051]]+[33.813:[0.0201946;-3.2711;2.07869]]+[33.913:[0.0531644;-3.34832;2.08686]]+[34.013:[0.0861342;-3.42555;2.09503]]+[34.113:[0.119104;-3.50277;2.1032]]+[34.213:[0.152074;-3.57999;2.11137]]+[34.313:[0.185044;-3.65722;2.11955]]+[34.413:[0.218013;-3.73444;2.12772]]+],
33.62,-0.00534701,-3.11881,2.1286,-0.0333684,-3.11189,2.06019,0.503417,-0.609233,0.0317538,0.479708,-0.628594,0.0187259,[[33.719:[0.0169733;-3.17281;2.06337]]+[33.819:[0.067315;-3.23374;2.06654]]+[33.919:[0.117657;-3.29466;2.06972]]+[34.019:[0.167998;-3.35558;2.07289]]+[34.119:[0.21834;-3.41651;2.07607]]+[34.219:[0.268682;-3.47743;2.07924]]+[34.319:[0.319024;-3.53835;2.08242]]+[34.419:[0.369365;-3.59928;2.0856]]+[34.519:[0.419707;-3.6602;2.08877]]+],
33.72,0.0410267,-3.16048,2.13059,0.0267894,-3.16253,2.06317,0.659691,-0.423155,0.00628687,0.646577,-0.442305,0.0244044,[[33.82:[0.0927584;-3.20485;2.0638]]+[33.92:[0.158727;-3.24716;2.06443]]+[34.02:[0.224697;-3.28948;2.06505]]+[34.12:[0.290666;-3.3318;2.06568]]+[34.22:[0.356635;-3.37411;2.06631]]+[34.32:[0.422604;-3.41643;2.06694]]+[34.42:[0.488573;-3.45874;2.06757]]+[34.52:[0.554542;-3.50106;2.0682]]+[34.62:[0.620511;-3.54337;2.06883]]+],
33.82,0.117969,-3.201,2.13291,0.0981224,-3.19746,2.0632,0.754656,-0.291862,-0.00391531,0.741521,-0.32265,0.0273682,[[33.915:[0.169814;-3.22518;2.06276]]+[34.015:[0.24528;-3.25437;2.06237]]+[34.115:[0.320745;-3.28356;2.06198]]+[34.215:[0.396211;-3.31274;2.06159]]+[34.315:[0.471676;-3.34193;2.0612]]+[34.415:[0.547142;-3.37111;2.0608]]+[34.515:[0.622608;-3.4003;2.06041]]+[34.615:[0.698073;-3.42949;2.06002]]+[34.715:[0.773539;-3.45867;2.05963]]+],
33.921,0.205195,-3.22595,2.13574,0.176898,-3.21958,2.06375,0.820144,-0.179416,0.00371399,0.812074,-0.211172,0.0279797,[[34.019:[0.258913;-3.23752;2.06412]]+[34.119:[0.340927;-3.25547;2.06449]]+[34.219:[0.422941;-3.27341;2.06486]]+[34.319:[0.504956;-3.29135;2.06523]]+[34.419:[0.58697;-3.30929;2.0656]]+[34.519:[0.668985;-3.32723;2.06597]]+[34.619:[0.750999;-3.34517;2.06635]]+[34.719:[0.833013;-3.36312;2.06672]]+[34.819:[0.915028;-3.38106;2.06709]]+],
34.02,0.272747,-3.23625,2.13792,0.258142,-3.23193,2.06453,0.862317,-0.0963242,0.00281884,0.85825,-0.127294,0.0089423,[[34.115:[0.344374;-3.24156;2.06481]]+[34.215:[0.430606;-3.2512;2.06509]]+[34.315:[0.516837;-3.26083;2.06537]]+[34.415:[0.603069;-3.27046;2.06566]]+[34.515:[0.689301;-3.28009;2.06594]]+[34.615:[0.775532;-3.28973;2.06622]]+[34.715:[0.861764;-3.29936;2.0665]]+[34.815:[0.947996;-3.30899;2.06678]]+[34.915:[1.03423;-3.31862;2.06706]]+],
34.12,0.368954,-3.24266,2.14004,0.345766,-3.23799,2.06552,0.885349,-0.0352354,0.0431307,0.885349,-0.0374444,0.0412275,[[34.215:[0.434301;-3.24152;2.06983]]+[34.315:[0.522836;-3.24504;2.07414]]+[34.415:[0.611371;-3.24857;2.07846]]+[34.515:[0.699906;-3.25209;2.08277]]+[34.615:[0.788441;-3.25561;2.08708]]+[34.715:[0.876976;-3.25914;2.0914]]+[34.815:[0.96551;-3.26266;2.09571]]+[34.915:[1.05405;-3.26618;2.10002]]+[35.015:[1.14258;-3.26971;2.10434]]+],
